trial,item_no,item_id,type,expset,condition,social_context,target_context,register_match,grammatical,context,critical,sentence,picture1,correct_answer
practice,practice,practice,practice,practice,practice,practice,practice,practice,practice,Hochtrabend daherkommend*erw&auml;hnte*der Profi:,"Ich*mutma&szlig;e,*dass*die Reparatur*trotz der fairen Versicherung*teuer ist. ",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,practice1rel1.jpg,Ja
practice,practice,practice,practice,practice,practice,practice,practice,practice,practice,Gut gelaunt*sagte*die Studentin:,Ich*schreibe*sp&auml;ter*meine Hausaufgaben*in der Bibliothek.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,practice2unrel1.jpg,Nein
practice,practice,practice,practice,practice,practice,practice,practice,practice,practice,Minimal verunsichert*benannte*Anne:,"Ich*ahne,*dass*der Fleck*trotz der starken Reinigung*bleibt.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,practice3rel1.jpg,Ja
critical,65,32,filler,SocStat,a,low,high,match,yes,F&uuml;r die Menschen*in Schwahlheim*sind*die abendlichen Spazierg&auml;nge*am See*ein Genuss.,"Ich*wei&szlig;,*dass*das Ufer*wegen der gr&uuml;nen Aussicht*idyllisch wirkt.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler32_socstat_related_1.jpg,Ja
critical,18,18,critical,WP1,e,low,low,match,no,Pingelig getrimmt*schwafelt*Tobias:,Ich*f&uuml;ttere*gleich*mein Klo*vor dem Speicher.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Klo.jpg,Ja
critical,88,8,filler,WP2,j,low,high,mismatch,no,Der Fan*beheulte*den Struggle:,Der Sporttaucher*t&auml;uschen*den Brustschwimmer.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler8_WP2_unrelated_1.jpg,Nein
critical,64,30,filler,SocStat,a,low,high,match,yes,Jeder Einwohner*bemerkt*die Ver&auml;nderungen*in Berlin.,Ich*bin sicher*dass*der Umbau*wegen der klaren Vorschrift*verz&ouml;gert wird.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler30_socstat_related_1.jpg,Ja
critical,11,11,critical,WP1,f,low,high,mismatch,no,Patent trainiert*verklickert*Daniel:,Ich*b&uuml;gel*gleich*meine Pferde*w&auml;hrend der Tagesschau.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Pferde.jpg,Ja
critical,99,19,filler,WP2,h,low,low,match,no,Die Oma*schwatzte*vor sich hin:,Der Priester*beschwafeln*den Hausarzt.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler19_WP2_unrelated_2.jpg,Nein
critical,95,15,filler,WP2,g,low,low,match,yes,Der Offizier*schw&auml;tzte*in der Kantine:,Der Soldat*verpetzte*den*Wachmann.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler15_WP2_related_1.jpg,Ja
critical,14,14,critical,WP1,f,low,high,mismatch,no,Astrein hergerichtet*plappert*Maria:,Ich*lackiere*sp&auml;ter*meine Zeichnung*f&uuml;r das Date.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Zeichnung.jpg,Ja
critical,87,7,filler,WP2,j,low,high,mismatch,no,Der Besoffene*johlte*vor dem Fernseher:,Der Kriminalbeamte*&uuml;bervorteilen*den Raubm&ouml;rder.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler7_WP2_related_1.jpg,Ja
critical,19,19,critical,WP1,e,low,low,match,no,Aktiv mit*dabei*protzt*Lukas:,Ich*unterschreibe*jetzt*meinen Schampus*w&auml;hrend des Meetings.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Schampus.jpg,Ja
critical,68,35,filler,SocStat,a,low,high,match,yes,Das Weinfest*ist*bei vielen Hessen*H&ouml;hepunkt des Jahres.,"Ich*wei&szlig;,*dass*der Raum*trotz der massiven Hitze*voll ist.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler35_socstat_related_1.jpg,Ja
critical,75,47,filler,SocStat,b,low,high,match,no,Die Kleine*steckte*ihm*fix*die Neuigkeit.,"Ich*behaupte,*dass*der Wettkampf*trotz die k&uuml;hle Witterung*wieder*stattfindet.",Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Filler47_socstat_unrelated_1.jpg,Nein
critical,13,13,critical,WP1,f,low,high,mismatch,no,Astrein hergerichtet*plappert*Maria:,Ich*kopiere*sp&auml;ter*meine Fingern&auml;gel*auf den PC.,Hat das angezeitgte Bild dem zuletzt gelesenen Satz gepasst?,Fingernaegel.jpg,Ja
